1426719828,7,693,31,-16,7,693,31,-16,-19.1428571428571
1426719847,7,693,31,-16,7,693,31,-16,-19.1428571428571
1426723219,7,693,31,-17,7,693,31,-17,-19
1426725856,7,693,30,-17,7,693,30,-17,-18.25,4
1426725916,7,693,30,-17,7,693,30,-17,-18.25,4
1426725938,7,693,30,-17,7,693,30,-17,-18.25,4
1426726627,7,693,31,-17,7,693,31,-17,-18.25,4
1426727027,7,693,30,-17,7,693,30,-17,-18.25,4
1426727327,7,693,30,-17,7,693,30,-17,-18.25,4
1426727926,7,693,30,-17,7,693,30,-17,-18.25,4
1426728826,6,687,30,-17,7,693,30,-18,-18.5,4
1426729126,7,693,30,-17,7,693,30,-17,-18.25,4
1426729727,7,693,30,-17,7,693,30,-17,-18.25,4
1426730626,7,693,30,-17,7,693,30,-17,-18.25,4,
1426730927,7,693,30,-17,7,693,30,-17,-18.25,4,
1426731527,7,693,30,-17,7,693,30,-17,-18.25,4,
1426732427,7,693,30,-17,7,693,30,-17,-18.25,4,
1426732727,7,693,30,-17,7,693,30,-17,-18.25,4,
1426733327,7,693,30,-17,7,693,30,-17,-18.25,4,
1426734226,7,693,30,-17,7,693,30,-17,-18.25,4,
1426734526,7,693,30,-17,7,693,30,-17,-18.25,4,
1426735127,7,693,30,-17,6,687,31,-17,-18.25,4,
1426736027,6,687,30,-17,7,693,30,-18,-18.5,4,
1426736327,6,687,30,-17,7,693,30,-18,-18.5,4,
1426736927,6,687,30,-17,7,693,30,-18,-18.5,4,
1426737827,6,687,30,-17,7,693,30,-18,-18.5,4,
1426738126,6,687,30,-17,7,693,30,-18,-18.5,4,
1426738726,6,687,30,-17,7,693,30,-18,-18.5,4,
1426739626,6,687,31,-17,6,687,31,-17,-18.5,4,
1426739926,6,687,31,-17,6,687,31,-17,-18.5,4,
1426740527,6,687,30,-17,7,693,30,-18,-18.5,4,
1426741427,6,687,30,-17,6,687,30,-17,-18.5,4,
1426741726,6,687,30,-17,6,687,30,-17,-18.5,4,
1426742327,6,687,31,-17,6,687,31,-17,-18.5,4,
1426743227,6,687,31,-17,6,687,31,-17,-18.5,4,
1426743526,6,687,31,-17,6,687,31,-17,-18.5,4,
